player_name,player_id,team_id,match_id,innings,overs,maidens,runs,wickets,economy,wides,no_ball
Trent Boult,108,7,1,1,10.0,1,48,1,4.8,1,0
Matt Henry,113,7,1,1,10.0,1,48,3,4.8,0,0
Mitchell Santner,107,7,1,1,10.0,0,37,2,3.7,1,0
James Neesham,104,7,1,1,7.0,0,56,0,8.0,2,0
Rachin Ravindra,106,7,1,1,10.0,0,76,1,7.6,0,0
Glenn Phillips,105,7,1,1,3.0,0,17,2,5.66,0,0
Chris Woakes,60,4,1,2,6.0,0,45,0,7.5,0,0
Sam Curran,56,4,1,2,6.0,2,47,1,7.83,2,0
Mark Wood,63,4,1,2,5.0,0,55,0,11.0,1,0
Moeen Ali,54,4,1,2,9.2,0,60,0,6.42,0,0
Adil Rashid,62,4,1,2,7.0,0,47,0,6.71,0,0
Liam Livingstone,57,4,1,2,3.0,0,24,0,8.0,0,0
Aryan Dutt,93,6,2,1,10.0,0,48,1,4.8,2,0
Logan van Beek,95,6,2,1,6.0,0,30,1,5.0,1,0
Colin Ackermann,87,6,2,1,8.0,1,39,2,4.87,0,0
Paul van Meekeren,96,6,2,1,6.0,0,40,1,6.66,2,0
Bas de Leede,88,6,2,1,9.0,0,62,4,6.88,3,0
Roelof van der Merwe,92,6,2,1,6.0,0,36,0,6.0,0,1
Vikramjit Singh,86,6,2,1,2.0,0,16,0,8.0,0,0
Saqib Zulfiqar,91,6,2,1,2.0,0,15,0,7.5,0,0
Shaheen Shah Afridi,127,8,2,2,7.0,0,37,1,5.28,2,0
Hasan Ali,126,8,2,2,7.0,1,33,2,4.71,4,0
Haris Rauf,125,8,2,2,9.0,0,43,3,4.77,2,0
Iftikhar Ahmed,117,8,2,2,3.0,0,16,1,5.33,0,0
Mohammad Nawaz,122,8,2,2,7.0,0,31,1,4.42,0,0
Shadab Khan,124,8,2,2,8.0,0,45,1,5.62,1,0
Taskin Ahmed,47,3,3,1,6.0,0,32,1,5.33,1,0
Shoriful Islam,45,3,3,1,6.2,1,34,2,5.36,2,0
Mustafizur Rahman,43,3,3,1,7.0,1,28,1,4.0,0,0
Shakib Al Hasan,41,3,3,1,8.0,0,30,3,3.75,0,0
Mehidy Hasan Miraz,40,3,3,1,9.0,3,25,3,2.77,1,0
Mahmudullah,39,3,3,1,1.0,0,7,0,7.0,0,0
Fazalhaq Farooqi,12,1,3,2,5.0,0,19,1,3.8,2,0
Mujeeb Ur Rahman,13,1,3,2,7.0,0,30,0,4.28,0,0
Naveen-ul-Haq,14,1,3,2,5.4,0,31,1,5.47,1,1
Rashid Khan,10,1,3,2,9.0,0,48,0,5.33,0,0
Mohammad Nabi,8,1,3,2,6.0,1,18,0,3.0,1,0
Azmatullah Omarzai,7,1,3,2,2.0,0,9,1,4.5,0,0
Kasun Rajitha,159,10,4,1,10.0,1,90,1,9.0,2,0
Dilshan Madushanka,158,10,4,1,10.0,0,86,2,8.6,3,1
Dasun Shanaka,156,10,4,1,6.0,0,36,0,6.0,0,0
Dhananjaya de Silva,152,10,4,1,4.0,0,39,0,9.75,1,0
Matheesha Pathirana,163,10,4,1,10.0,0,95,1,9.5,5,0
Dunith Wellalage,161,10,4,1,10.0,0,81,1,8.1,2,0
Lungi Ngidi,140,9,4,2,8.0,1,49,1,6.12,2,0
Marco Jansen,136,9,4,2,10.0,0,92,2,9.2,3,0
Kagiso Rabada,141,9,4,2,7.5,0,50,2,6.38,2,1
Keshav Maharaj,139,9,4,2,10.0,0,62,2,6.2,2,0
Gerald Coetzee,138,9,4,2,9.0,0,68,3,7.55,1,0
Jasprit Bumrah,76,5,5,1,10.0,0,35,2,3.5,4,0
Mohammed Siraj,79,5,5,1,6.3,1,26,1,4.0,2,0
Hardik Pandya,74,5,5,1,3.0,0,28,1,9.33,0,0
Ravichandran Ashwin,72,5,5,1,10.0,1,34,1,3.4,0,0
Kuldeep Yadav,77,5,5,1,10.0,0,42,2,4.2,0,0
Ravindra Jadeja,73,5,5,1,10.0,2,28,3,2.8,0,0
Mitchell Starc,29,2,5,2,8.0,0,31,1,3.87,3,0
Josh Hazlewood,28,2,5,2,9.0,1,38,3,4.22,1,0
Pat Cummins,27,2,5,2,6.2,0,33,0,5.21,1,1
Glenn Maxwell,25,2,5,2,8.0,0,33,0,4.12,0,0
Cameron Green,23,2,5,2,2.0,0,11,0,5.5,0,0
Adam Zampa,30,2,5,2,8.0,0,53,0,6.62,0,0
Aryan Dutt,93,6,6,1,10.0,2,62,2,6.2,1,0
Ryan Klein,97,6,6,1,7.0,1,41,0,5.85,1,0
Paul van Meekeren,96,6,6,1,9.0,0,59,2,6.55,0,1
Roelof van der Merwe,92,6,6,1,9.0,0,56,2,6.22,0,0
Colin Ackermann,87,6,6,1,4.0,0,28,0,7.0,0,0
Bas de Leede,88,6,6,1,10.0,0,64,1,6.4,0,1
Vikramjit Singh,86,6,6,1,1.0,0,9,0,9.0,0,0
Trent Boult,108,7,6,2,8.0,0,34,0,4.25,1,0
Matt Henry,113,7,6,2,8.3,0,40,3,4.7,0,0
Mitchell Santner,107,7,6,2,10.0,0,59,5,5.9,0,0
Lockie Ferguson,109,7,6,2,8.0,0,32,0,4.0,0,0
Rachin Ravindra,106,7,6,2,10.0,0,46,1,4.6,0,1
Glenn Phillips,105,7,6,2,2.0,0,11,0,5.5,0,0
Mustafizur Rahman,43,3,7,1,10.0,0,70,0,7.0,0,0
Taskin Ahmed,47,3,7,1,6.0,0,38,1,6.33,2,0
Shoriful Islam,45,3,7,1,10.0,0,75,3,7.5,1,0
Mahedi Hasan,38,3,7,1,8.0,0,71,4,8.87,0,0
Shakib Al Hasan,41,3,7,1,10.0,0,52,1,5.2,1,0
Mehidy Hasan Miraz,40,3,7,1,6.0,0,55,0,9.16,0,0
Chris Woakes,60,4,7,2,8.0,0,49,2,6.12,0,0
Reece Topley,64,4,7,2,10.0,1,43,4,4.3,0,0
Sam Curran,56,4,7,2,7.2,0,47,1,6.4,2,0
Mark Wood,63,4,7,2,10.0,0,29,1,2.9,1,0
Adil Rashid,62,4,7,2,10.0,0,42,1,4.2,0,0
Liam Livingstone,57,4,7,2,3.0,0,13,1,4.33,0,0
Shaheen Shah Afridi,127,8,8,1,9.0,0,66,1,7.33,4,0
Hasan Ali,126,8,8,1,10.0,0,71,4,7.1,3,1
Mohammad Nawaz,122,8,8,1,9.0,0,62,1,6.88,0,0
Haris Rauf,125,8,8,1,10.0,0,64,2,6.4,1,0
Shadab Khan,124,8,8,1,8.0,0,55,1,6.87,0,0
Iftikhar Ahmed,117,8,8,1,4.0,0,22,0,5.5,1,0
Maheesh Theekshana,160,10,8,2,10.0,0,59,1,5.9,1,0
