player_name,player_id,team_id,match_id,runs,balls_faced,fours,sixes,strike_rate,dnb,is_out,dismissal_type
Jonny Bairstow,49,4,1,33,35,4,1,94.28,0,1,c Mitchell b Santner
Dawid Malan,51,4,1,14,24,2,0,58.33,0,1,c †Latham b Henry
Joe Root,52,4,1,77,86,4,1,89.53,0,1, b Phillips
Harry Brook,50,4,1,25,16,4,1,156.25,0,1,c Conway b Ravindra
Moeen Ali,54,4,1,11,17,1,0,64.70,0,1, b Phillips
Jos Buttler,48,4,1,43,42,2,2,102.38,0,1,c †Latham b Henry
Liam Livingstone,57,4,1,20,22,3,0,90.90,0,1,c Henry b Boult
Sam Curran,56,4,1,14,19,0,0,73.68,0,1,c †Latham b Henry
Chris Woakes,60,4,1,11,12,1,0,91.66,0,1,c Young b Santner
Adil Rashid,62,4,1,15,13,0,1,115.38,0,0,
Mark Wood,63,4,1,13,14,0,0,92.85,0,0,
Devon Conway,100,7,1,152,121,19,3,125.61,0,0,
Will Young,101,7,1,0,1,0,0,0.00,0,1,c †Buttler b Curran
Rachin Ravindra,106,7,1,123,96,11,5,128.12,0,0,
Daryl Mitchell,103,7,1,0,0,0,0,0,1,0,
Tom Latham,99,7,1,0,0,0,0,0,1,0,
Glenn Phillips,105,7,1,0,0,0,0,0,1,0,
Mark Chapman,102,7,1,0,0,0,0,0,1,0,
James Neesham,104,7,1,0,0,0,0,0,1,0,
Mitchell Santner,107,7,1,0,0,0,0,0,1,0,
Matt Henry,113,7,1,0,0,0,0,0,1,0,
Trent Boult,108,7,1,0,0,0,0,0,1,0,
Fakhar Zaman,116,8,2,12,15,3,0,80.00,0,1,c & b van Beek
Imam-ul-Haq,118,8,2,15,19,2,0,78.94,0,1,c Dutt b van Meekeren
Babar Azam,114,8,2,5,18,0,0,27.77,0,1,c Saqib Zulfiqar b Ackermann
Mohammad Rizwan,119,8,2,68,75,8,0,90.66,0,1, b de Leede
Saud Shakeel,120,8,2,68,52,9,1,130.76,0,1,c Saqib Zulfiqar b Dutt
Iftikhar Ahmed,117,8,2,9,11,1,0,81.81,0,1,c †Edwards b de Leede
