player_id,cricinfo_player_id,name,team_id,team_name,first_name,last_name,full_name,date_of_birth,age,role,captain,batting_style,bowling_style,is_batsman,is_bowler,is_allrounder,is_wicketkeeper,image_path
1,440970,Hashmatullah Shahidi,1,Afghanistan,Hashmatullah,Shahidi,Hashmatullah Shahidi,1994-11-04T00:00Z,29,Top-order batter,False,Left-hand bat,Right-arm offbreak,1,0,0,0,static/imgs/players/Hashmatullah Shahidi.jpg
2,921509,Ibrahim Zadran,1,Afghanistan,Ibrahim,Zadran,Ibrahim Zadran,2001-12-12T00:00Z,22,Opening batter,True,Right-hand bat,Right-arm medium-fast,1,0,0,0,static/imgs/players/Ibrahim Zadran.jpg
3,935553,Ikram Alikhil,1,Afghanistan,Ikram,Alikhil,Ikram Alikhil,2000-09-29T00:00Z,23,Wicketkeeper batter,False,Left-hand bat,,1,0,0,1,static/imgs/players/Ikram Alikhil.jpg
4,524049,Najibullah Zadran,1,Afghanistan,Najibullah,Zadran,Najibullah Zadran,1993-02-28T00:00Z,30,Middle-order batter,True,Left-hand bat,Right-arm offbreak,1,0,0,0,static/imgs/players/Najibullah Zadran.jpg
5,974087,Rahmanullah Gurbaz,1,Afghanistan,Rahmanullah,Gurbaz,Rahmanullah Gurbaz,2001-11-28T00:00Z,22,Wicketkeeper batter,False,Right-hand bat,,1,0,0,1,static/imgs/players/Rahmanullah Gurbaz.jpg
6,1061090,Riaz Hassan,1,Afghanistan,Riaz,Hassan,Riaz Hassan,2002-11-07T00:00Z,21,Batter,True,Right-hand bat,,1,0,0,0,static/imgs/players/Riaz Hassan.jpg
7,819429,Azmatullah Omarzai,1,Afghanistan,Azmatullah,Omarzai,Azmatullah Omarzai,2000-03-24T00:00Z,23,Allrounder,True,Right-hand bat,Right-arm medium-fast,0,0,1,0,static/imgs/players/Azmatullah Omarzai.jpg
8,25913,Mohammad Nabi,1,Afghanistan,Mohammad,Nabi,Mohammad Nabi,1985-01-01T00:00Z,39,Allrounder,True,Right-hand bat,Right-arm offbreak,0,0,1,0,static/imgs/players/Mohammad Nabi.jpg
9,533956,Rahmat Shah,1,Afghanistan,Rahmat,Shah,Rahmat Shah Zurmatai,1993-07-06T00:00Z,30,Allrounder,True,Right-hand bat,Legbreak googly,0,0,1,0,static/imgs/players/Rahmat Shah.jpg
10,793463,Rashid Khan,1,Afghanistan,Rashid,Khan,Rashid Khan Arman,1998-09-20T00:00Z,25,Bowling allrounder,True,Right-hand bat,Legbreak googly,0,0,1,0,static/imgs/players/Rashid Khan.jpg
11,819507,Abdul Rahman,1,Afghanistan,Abdul,Rahman,Abdul Rahman Rahmani,2001-11-22T00:00Z,22,Bowler,True,Right-hand bat,Right-arm fast-medium,0,1,0,0,static/imgs/players/Abdul Rahman.jpg
12,974175,Fazalhaq Farooqi,1,Afghanistan,Fazalhaq,Farooqi,Fazalhaq Farooqi,2000-09-22T00:00Z,23,Bowler,True,Right-hand bat,Left-arm fast-medium,0,1,0,0,static/imgs/players/Fazalhaq Farooqi.jpg
13,974109,Mujeeb Ur Rahman,1,Afghanistan,Mujeeb,Rahman,Mujeeb Ur Rahman,2001-03-28T00:00Z,22,Bowler,True,Right-hand bat,Right-arm offbreak,0,1,0,0,static/imgs/players/Mujeeb Ur Rahman.jpg
14,793447,Naveen-ul-Haq,1,Afghanistan,Naveen-ul-Haq,Naveen-ul-Haq,Naveen-ul-Haq Murid,1999-09-23T00:00Z,24,Bowler,True,Right-hand bat,Right-arm medium-fast,0,1,0,0,static/imgs/players/Naveen-ul-Haq.jpg
15,1182529,Noor Ahmad,1,Afghanistan,Noor,Ahmad,Noor Ahmad Lakanwal,2005-01-03T00:00Z,19,Bowler,True,Right-hand bat,Left-arm wrist-spin,0,1,0,0,static/imgs/players/Noor Ahmad.jpg
16,326434,Alex Carey,2,Australia,Alex,Carey,Alex Tyson Carey,1991-08-27T00:00Z,32,Wicketkeeper batter,False,Left-hand bat,,1,0,0,1,static/imgs/players/Alex Carey.jpg
17,530011,Travis Head,2,Australia,Travis,Head,Travis Michael Head,1993-12-29T00:00Z,30,Middle-order batter,True,Left-hand bat,Right-arm offbreak,1,0,0,0,static/imgs/players/Travis Head.jpg
18,662235,Josh Inglis,2,Australia,Josh,Inglis,Joshua Patrick Inglis,1995-03-04T00:00Z,28,Wicketkeeper batter,False,Right-hand bat,,1,0,0,1,static/imgs/players/Josh Inglis.jpg
19,787987,Marnus Labuschagne,2,Australia,Marnus,Labuschagne,Marnus Labuschagne,1994-06-22T00:00Z,29,Batter,True,Right-hand bat,Legbreak,1,0,0,0,static/imgs/players/Marnus Labuschagne.jpg
20,267192,Steven Smith,2,Australia,Steven,Smith,Steven Peter Devereux Smith,1989-06-02T00:00Z,34,Middle-order batter,True,Right-hand bat,Legbreak googly,1,0,0,0,static/imgs/players/Steven Smith.jpg
21,219889,David Warner,2,Australia,David,Warner,David Andrew Warner,1986-10-27T00:00Z,37,Opening batter,True,Left-hand bat,Legbreak,1,0,0,0,static/imgs/players/David Warner.jpg
22,398666,Sean Abbott,2,Australia,Sean,Abbott,Sean Anthony Abbott,1992-02-29T00:00Z,31,Bowling allrounder,True,Right-hand bat,Right-arm fast-medium,0,0,1,0,static/imgs/players/Sean Abbott.jpg
23,1076713,Cameron Green,2,Australia,Cameron,Green,Cameron Donald Green,1999-06-03T00:00Z,24,Batting allrounder,True,Right-hand bat,Right-arm fast-medium,0,0,1,0,static/imgs/players/Cameron Green.jpg
24,272450,Mitchell Marsh,2,Australia,Mitchell,Marsh,Mitchell Ross Marsh,1991-10-20T00:00Z,32,Allrounder,True,Right-hand bat,Right-arm medium,0,0,1,0,static/imgs/players/Mitchell Marsh.jpg
25,325026,Glenn Maxwell,2,Australia,Glenn,Maxwell,Glenn James Maxwell,1988-10-14T00:00Z,35,Batting allrounder,True,Right-hand bat,Right-arm offbreak,0,0,1,0,static/imgs/players/Glenn Maxwell.jpg
26,325012,Marcus Stoinis,2,Australia,Marcus,Stoinis,Marcus Peter Stoinis,1989-08-16T00:00Z,34,Batting allrounder,True,Right-hand bat,Right-arm medium,0,0,1,0,static/imgs/players/Marcus Stoinis.jpg
27,489889,Pat Cummins,2,Australia,Pat,Cummins,Patrick James Cummins,1993-05-08T00:00Z,30,Bowler,False,Right-hand bat,Right-arm fast,0,1,0,0,static/imgs/players/Pat Cummins.jpg
28,288284,Josh Hazlewood,2,Australia,Josh,Hazlewood,Josh Reginald Hazlewood,1991-01-08T00:00Z,32,Bowler,True,Left-hand bat,Right-arm fast-medium,0,1,0,0,static/imgs/players/Josh Hazlewood.jpg
29,311592,Mitchell Starc,2,Australia,Mitchell,Starc,Mitchell Aaron Starc,1990-01-30T00:00Z,33,Bowler,True,Left-hand bat,Left-arm fast,0,1,0,0,static/imgs/players/Mitchell Starc.jpg
30,379504,Adam Zampa,2,Australia,Adam,Zampa,Adam Zampa,1992-03-31T00:00Z,31,Bowler,True,Right-hand bat,Legbreak googly,0,1,0,0,static/imgs/players/Adam Zampa.jpg
31,505120,Ashton Agar,2,Australia,Ashton,Agar,Ashton Charles Agar,1993-10-14T00:00Z,30,Bowler,True,Left-hand bat,Slow left-arm orthodox,0,1,0,0,static/imgs/players/Ashton Agar.jpg
32,629058,Najmul Hossain Shanto,3,Bangladesh,Najmul,Shanto,Najmul Hossain Shanto,1998-08-25T00:00Z,25,Top-order batter,False,Left-hand bat,Right-arm offbreak,1,0,0,0,static/imgs/players/Najmul Hossain Shanto.jpg
33,380354,Anamul Haque,3,Bangladesh,Anamul,Haque,Mohammad Anamul Haque Bijoy,1992-12-16T00:00Z,31,Wicketkeeper batter,False,Right-hand bat,,1,0,0,1,static/imgs/players/Anamul Haque.jpg
34,536936,Litton Das,3,Bangladesh,Litton,Das,Litton Kumer Das,1994-10-13T00:00Z,29,Wicketkeeper batter,False,Right-hand bat,Right-arm offbreak,1,0,0,1,static/imgs/players/Litton Das.jpg
35,56029,Mushfiqur Rahim,3,Bangladesh,Mushfiqur,Rahim,Mohammad Mushfiqur Rahim,1987-05-09T00:00Z,36,Wicketkeeper batter,False,Right-hand bat,,1,0,0,1,static/imgs/players/Mushfiqur Rahim.jpg
36,990023,Tanzid Hasan,3,Bangladesh,Tanzid,Hasan,Tanzid Hasan Tamim,2000-12-01T00:00Z,23,Opening batter,True,Left-hand bat,,1,0,0,0,static/imgs/players/Tanzid Hasan.jpg
37,990031,Towhid Hridoy,3,Bangladesh,Towhid,Hridoy,Md Towhid Hridoy,2000-12-04T00:00Z,23,Top-order batter,True,Right-hand bat,Right-arm offbreak,1,0,0,0,static/imgs/players/Towhid Hridoy.jpg
38,833087,Mahedi Hasan,3,Bangladesh,Mahedi,Hasan,Mahedi Hasan,1994-12-12T00:00Z,29,Allrounder,True,Right-hand bat,Right-arm offbreak,0,0,1,0,static/imgs/players/Mahedi Hasan.jpg
39,56025,Mahmudullah,3,Bangladesh,Mahmudullah,Mahmudullah,Mohammad Mahmudullah,1986-02-04T00:00Z,37,Allrounder,True,Right-hand bat,Right-arm offbreak,0,0,1,0,static/imgs/players/Mahmudullah.jpg
40,629063,Mehidy Hasan Miraz,3,Bangladesh,Mehidy,Miraz,Mehidy Hasan Miraz,1997-10-25T00:00Z,26,Allrounder,True,Right-hand bat,Right-arm offbreak,0,0,1,0,static/imgs/players/Mehidy Hasan Miraz.jpg
41,56143,Shakib Al Hasan,3,Bangladesh,Shakib,Hasan,Shakib Al Hasan,1987-03-24T00:00Z,36,Allrounder,True,Left-hand bat,Slow left-arm orthodox,0,0,1,0,static/imgs/players/Shakib Al Hasan.jpg
42,926629,Hasan Mahmud,3,Bangladesh,Hasan,Mahmud,Hasan Mahmud,1999-10-12T00:00Z,24,Bowler,True,Right-hand bat,Right-arm fast-medium,0,1,0,0,static/imgs/players/Hasan Mahmud.jpg
43,330902,Mustafizur Rahman,3,Bangladesh,Mustafizur,Rahman,Mustafizur Rahman,1995-09-06T00:00Z,28,Bowler,True,Left-hand bat,Left-arm fast-medium,0,1,0,0,static/imgs/players/Mustafizur Rahman.jpg
44,348049,Nasum Ahmed,3,Bangladesh,Nasum,Ahmed,Nasum Ahmed,1994-12-05T00:00Z,29,Bowler,True,Left-hand bat,Slow left-arm orthodox,0,1,0,0,static/imgs/players/Nasum Ahmed.jpg
45,990039,Shoriful Islam,3,Bangladesh,Shoriful,Islam,Mohammad Shoriful Islam,2001-06-03T00:00Z,22,Bowler,True,Left-hand bat,Left-arm medium-fast,0,1,0,0,static/imgs/players/Shoriful Islam.jpg
46,1139520,Tanzim Hasan Sakib,3,Bangladesh,Tanzim,Sakib,Tanzim Hasan Sakib,2002-10-20T00:00Z,21,Bowler,True,Right-hand bat,Right-arm medium,0,1,0,0,static/imgs/players/Tanzim Hasan Sakib.jpg
47,538506,Taskin Ahmed,3,Bangladesh,Taskin,Ahmed,Taskin Ahmed,1995-04-03T00:00Z,28,Bowler,True,Left-hand bat,Right-arm fast,0,1,0,0,static/imgs/players/Taskin Ahmed.jpg
48,308967,Jos Buttler,4,England,Jos,Buttler,Joseph Charles Buttler,1990-09-08T00:00Z,33,Wicketkeeper batter,False,Right-hand bat,,1,0,0,1,static/imgs/players/Jos Buttler.jpg
49,297433,Jonny Bairstow,4,England,Jonny,Bairstow,Jonathan Marc Bairstow,1989-09-26T00:00Z,34,Wicketkeeper batter,False,Right-hand bat,Right-arm medium,1,0,0,1,static/imgs/players/Jonny Bairstow.jpg
50,911707,Harry Brook,4,England,Harry,Brook,Harry Cherrington Brook,1999-02-22T00:00Z,24,Batter,True,Right-hand bat,Right-arm medium,1,0,0,0,static/imgs/players/Harry Brook.jpg
